DATE,Foreign Direct Investment
2000-01-01,207400.0
2000-04-01,365568.0
2000-07-01,318888.0
2000-10-01,389484.0
2001-01-01,236820.0
2001-04-01,238256.0
2001-07-01,56512.0
2001-10-01,140596.0
2002-01-01,98976.0
2002-04-01,29880.0
2002-07-01,57312.0
2002-10-01,157664.0
2003-01-01,153156.0
2003-04-01,-16232.0
2003-07-01,28.0
2003-10-01,141096.0
2004-01-01,110320.0
2004-04-01,136672.0
2004-07-01,142076.0
2004-10-01,217856.0
2005-01-01,159904.0
2005-04-01,-32020.0
2005-07-01,155876.0
2005-10-01,182860.0
2006-01-01,180936.0
2006-04-01,266208.0
2006-07-01,226284.0
2006-10-01,315876.0
2007-01-01,205600.0
2007-04-01,268396.0
2007-07-01,351856.0
2007-10-01,85004.0
2008-01-01,362076.0
2008-04-01,274716.0
2008-07-01,259444.0
2008-10-01,377564.0
2009-01-01,-1288.0
2009-04-01,128724.0
2009-07-01,226532.0
2009-10-01,276984.0
2010-01-01,152096.0
2010-04-01,127132.0
2010-07-01,334432.0
2010-10-01,228520.0
2011-01-01,170096.0
2011-04-01,247568.0
2011-07-01,270528.0
2011-10-01,280432.0
2012-01-01,155892.0
2012-04-01,303700.0
2012-07-01,175072.0
2012-10-01,211204.0
2013-01-01,142684.0
2013-04-01,256596.0
2013-07-01,243816.0
2013-10-01,225996.0
2014-01-01,-293968.0
2014-04-01,316280.0
2014-07-01,424204.0
2014-10-01,401432.0
2015-01-01,956604.0
2015-04-01,374936.0
2015-07-01,254312.0
2015-10-01,349540.0
2016-01-01,566720.0
2016-04-01,606940.0
2016-07-01,475284.0
2016-10-01,271120.0
2017-01-01,393588.0
2017-04-01,315376.0
2017-07-01,282788.0
2017-10-01,308540.0
2018-01-01,132968.0
2018-04-01,-36956.0
2018-07-01,419264.0
2018-10-01,350384.0
2019-01-01,266372.0
2019-04-01,259956.0
2019-07-01,206888.0
2019-10-01,293536.0
2020-01-01,99852.0
2020-04-01,75584.0
2020-07-01,131360.0
2020-10-01,145908.0
2021-01-01,255556.0
2021-04-01,349196.0
2021-07-01,539160.0
2021-10-01,499196.0
2022-01-01,327296.0
2022-04-01,360620.0
2022-07-01,463364.0
2022-10-01,304884.0
2023-01-01,438820.0
2023-04-01,306668.0
2023-07-01,364210.0
