DATE,Federal Funds Effective,Federal Surplus/Deficit,CPI (Inflation),Unemployment Rate
2000-01-01,5.448387096774193,62152.0,3.85,4.0
2000-02-01,5.7348275862068965,-41734.0,2.79,4.1
2000-03-01,5.853548387096774,-35380.0,3.42,4.0
2000-04-01,6.019666666666667,159497.0,2.28,3.8
2000-05-01,6.268064516129033,-3611.0,2.85,4.0
2000-06-01,6.528333333333333,55888.0,3.14,4.0
2000-07-01,6.5445161290322575,5061.0,3.44,4.0
2000-08-01,6.496774193548387,-10427.0,2.88,4.1
2000-09-01,6.5169999999999995,65747.0,3.07,3.9
2000-10-01,6.509354838709677,-11321.0,2.7,3.9
2000-11-01,6.514333333333334,-23690.0,2.65,3.9
2000-12-01,6.402258064516129,32666.0,3.3,3.9
2001-01-01,5.975806451612903,76379.0,4.08,4.2
2001-02-01,5.494285714285715,-48168.0,2.84,4.2
2001-03-01,5.3109677419354835,-50662.0,2.99,4.3
2001-04-01,4.8020000000000005,189796.0,3.14,4.4
2001-05-01,4.21225806451613,-27919.0,3.5,4.3
2001-06-01,3.969666666666667,31862.0,3.52,4.5
2001-07-01,3.769032258064516,2820.0,2.44,4.6
2001-08-01,3.6525806451612906,-79990.0,3.81,4.9
2001-09-01,3.069,35501.0,2.78,5.0
2001-10-01,2.485161290322581,-7656.0,4.18,5.3
2001-11-01,2.087,-54267.0,3.44,5.5
2001-12-01,1.817741935483871,26567.0,2.48,5.7
2002-01-01,1.7296774193548385,43729.0,2.76,5.7
2002-02-01,1.7396428571428573,-76056.0,3.38,5.7
2002-03-01,1.73,-64238.0,2.87,5.7
2002-04-01,1.7530000000000001,67170.0,2.68,5.9
2002-05-01,1.751290322580645,-80631.0,2.42,5.8
2002-06-01,1.7503333333333333,29071.0,2.5,5.8
2002-07-01,1.729032258064516,-29159.0,2.25,5.8
2002-08-01,1.7432258064516128,-54709.0,2.29,5.7
2002-09-01,1.7506666666666668,42388.0,2.72,5.7
2002-10-01,1.7548387096774194,-54072.0,2.31,5.7
2002-11-01,1.3359999999999999,-58883.0,1.91,5.9
2002-12-01,1.2383870967741937,4719.0,3.01,6.0
2003-01-01,1.2351612903225806,10633.0,2.18,5.8
2003-02-01,1.2621428571428572,-96663.0,1.98,5.9
2003-03-01,1.2529032258064516,-58877.0,1.13,5.9
2003-04-01,1.258,51066.0,0.55,6.0
2003-05-01,1.2590322580645161,-88867.0,1.08,6.1
2003-06-01,1.2226666666666666,21230.0,1.12,6.3
2003-07-01,1.011290322580645,-54240.0,2.67,6.2
2003-08-01,1.0290322580645161,-76587.0,2.36,6.1
2003-09-01,1.01,23402.0,2.02,6.1
2003-10-01,1.01,-69545.0,2.1,6.0
2003-11-01,0.996,-42971.0,1.19,5.8
2003-12-01,0.9841935483870967,-17640.0,1.8,5.7
2004-01-01,0.9970967741935484,-1633.0,2.22,5.7
2004-02-01,1.007241379310345,-96701.0,2.91,5.6
2004-03-01,1.0016129032258065,-72913.0,2.73,5.8
2004-04-01,1.004,17578.0,2.54,5.6
2004-05-01,1.0045161290322582,-62463.0,3.22,5.6
2004-06-01,1.0256666666666667,19124.0,2.72,5.6
2004-07-01,1.2635483870967743,-69160.0,1.77,5.5
2004-08-01,1.4293548387096775,-41132.0,2.87,5.4
2004-09-01,1.605,24611.0,2.15,5.4
2004-10-01,1.7609677419354839,-56618.0,2.66,5.5
2004-11-01,1.932,-57170.0,1.48,5.4
2004-12-01,2.1561290322580646,-2561.0,1.92,5.4
2005-01-01,2.2793548387096774,8106.0,3.42,5.3
2005-02-01,2.501785714285714,-113789.0,3.3,5.4
2005-03-01,2.629032258064516,-71724.0,1.9,5.2
2005-04-01,2.7849999999999997,57924.0,2.1,5.2
2005-05-01,3.00258064516129,-36190.0,3.17,5.1
2005-06-01,3.0356666666666663,22473.0,1.62,5.0
2005-07-01,3.2625806451612904,-53395.0,3.03,5.0
2005-08-01,3.4996774193548386,-51036.0,2.22,4.9
2005-09-01,3.6229999999999998,35234.0,4.02,5.0
2005-10-01,3.7793548387096774,-47277.0,3.33,5.0
2005-11-01,3.999,-83072.0,2.84,5.0
2005-12-01,4.1570967741935485,10967.0,2.2,4.9
2006-01-01,4.285161290322581,20964.0,2.88,4.7
2006-02-01,4.491428571428572,-119237.0,2.07,4.8
2006-03-01,4.589354838709677,-85281.0,3.08,4.7
2006-04-01,4.790333333333334,118841.0,2.89,4.7
2006-05-01,4.940322580645161,-42907.0,4.29,4.6
2006-06-01,4.991,20517.0,3.2,4.6
2006-07-01,5.235161290322581,-33164.0,3.05,4.7
2006-08-01,5.2464516129032255,-64717.0,4.62,4.7
2006-09-01,5.254666666666666,56167.0,2.11,4.5
2006-10-01,5.245161290322581,-49321.0,3.65,4.4
2006-11-01,5.245666666666667,-73042.0,3.02,4.5
2006-12-01,5.2380645161290325,41961.0,2.73,4.4
2007-01-01,5.248387096774193,38236.0,2.96,4.6
2007-02-01,5.258928571428571,-119993.0,4.45,4.5
2007-03-01,5.256774193548387,-96270.0,2.69,4.4
2007-04-01,5.249666666666667,177674.0,2.37,4.5
2007-05-01,5.2535483870967745,-67699.0,2.35,4.4
2007-06-01,5.2540000000000004,27481.0,3.27,4.6
2007-07-01,5.258387096774193,-36447.0,2.83,4.7
2007-08-01,5.022258064516129,-116973.0,2.18,4.6
2007-09-01,4.938,112866.0,3.7,4.7
2007-10-01,4.755483870967741,-56838.0,3.43,4.7
2007-11-01,4.486666666666666,-98238.0,3.48,4.7
2007-12-01,4.244516129032259,48261.0,2.98,5.0
2008-01-01,3.9403225806451614,17839.0,3.28,5.0
2008-02-01,2.9806896551724136,-175563.0,2.86,4.9
2008-03-01,2.6103225806451613,-48212.0,3.04,5.1
2008-04-01,2.2783333333333333,159282.0,2.24,5.0
2008-05-01,1.9783870967741934,-165927.0,2.46,5.4
2008-06-01,2.001,33547.0,4.05,5.6
2008-07-01,2.009677419354839,-102767.0,3.99,5.8
2008-08-01,1.996451612903226,-111914.0,2.94,6.1
2008-09-01,1.8116666666666668,45734.0,3.17,6.1
2008-10-01,0.9693548387096774,-155533.0,2.2,6.5
2008-11-01,0.3876666666666667,-125201.0,1.94,6.8
2008-12-01,0.15516129032258064,-51754.0,0.36,7.3
2009-01-01,0.15419354838709678,-63457.0,2.4,7.8
2009-02-01,0.22214285714285714,-193859.0,2.14,8.3
2009-03-01,0.18064516129032257,-191589.0,1.91,8.7
2009-04-01,0.15033333333333332,-20907.0,1.86,9.0
2009-05-01,0.1774193548387097,-189651.0,1.29,9.4
2009-06-01,0.20633333333333334,-94332.0,0.76,9.5
2009-07-01,0.15580645161290324,-180680.0,0.13,9.5
2009-08-01,0.16032258064516128,-103555.0,1.63,9.6
2009-09-01,0.14666666666666667,-45207.0,0.91,9.8
2009-10-01,0.11806451612903227,-176363.0,1.19,10.0
2009-11-01,0.119,-120287.0,0.52,9.9
2009-12-01,0.11806451612903227,-91410.0,0.46,9.9
2010-01-01,0.11,-42634.0,0.68,9.8
2010-02-01,0.12642857142857142,-220909.0,-0.11,9.8
2010-03-01,0.16451612903225807,-65387.0,-0.29,9.9
2010-04-01,0.19833333333333333,-82689.0,0.45,9.9
2010-05-01,0.2006451612903226,-135927.0,0.28,9.6
2010-06-01,0.17666666666666667,-68422.0,1.26,9.4
2010-07-01,0.18258064516129033,-165043.0,0.63,9.4
2010-08-01,0.18935483870967743,-90526.0,0.43,9.5
2010-09-01,0.19466666666666665,-34607.0,1.54,9.5
2010-10-01,0.19129032258064516,-140432.0,1.13,9.4
2010-11-01,0.19433333333333333,-150394.0,1.32,9.8
2010-12-01,0.1832258064516129,-78134.0,1.39,9.3
2011-01-01,0.16838709677419356,-49796.0,2.27,9.1
2011-02-01,0.15678571428571428,-222507.0,2.82,9.0
2011-03-01,0.13870967741935483,-188154.0,1.74,9.0
2011-04-01,0.098,-40387.0,2.25,9.1
2011-05-01,0.09387096774193548,-57641.0,2.31,9.0
2011-06-01,0.09200000000000001,-43080.0,1.93,9.1
2011-07-01,0.07096774193548387,-129376.0,2.54,9.0
2011-08-01,0.09580645161290323,-134143.0,3.18,9.0
2011-09-01,0.084,-62750.0,2.49,9.0
2011-10-01,0.0706451612903226,-98466.0,2.02,8.8
2011-11-01,0.081,-137302.0,1.85,8.6
2011-12-01,0.07161290322580646,-85967.0,2.37,8.5
2012-01-01,0.08193548387096775,-27407.0,3.2,8.3
2012-02-01,0.10379310344827586,-231677.0,1.68,8.3
2012-03-01,0.1267741935483871,-198157.0,2.42,8.2
2012-04-01,0.13933333333333334,59117.0,2.29,8.2
